FDOT Surey Feature Codes 11/15/2019,,,,
"Feature Code",LEVEL NAME,Level Description,Point / Line, ZONE
SHPT,PoleSharedT,Shared Pole with Transformer (Existing),P,3
SHR,Shrub,"Shrub, Bush (Existing)",P,1
SHRC,ShrubConiferous,Coniferous Shrub (Existing),P,1
SHRD,ShrubDeciduous,Deciduous Shrub (Existing),P,1
SHWM,WaterSeasHghMrk,"Seasonal High Water Mark (Bridges, Drainage Ponds and Trees as marked by Environmental) (Existing)",P,2
SIG,Signal,Signal Head (Existing),P,1
SIGC,SignalControl,Signal Controller (Existing),P,1
SIGNAL,PMSIGNAL,Pavement Marking Message - SIGNAL (Existing),P,1
SIGP,SignalPedestal,Signal on Pedestal (Existing),P,1
SILO,Silo,Silo (Existing),P,1
SILT,GroundShotSilt,Top Elevation of Muck or Silt (Soft Bottom Soundings),P,1
SLOW,PMSLOW,Pavement Marking Message - SLOW (Existing),P,1
SMA,SignalSupport,Signal Supports (Including Mast Arm) (Existing),P,1
SOUTH,PMSOUTH,Pavement Marking Message - SOUTH (Existing),P,1
SP,WaterStandpipe,Standpipe (Existing),P,3
SPH,Sprinkler,Sprinkler Head (Existing),P,3
SPLE,ITSFiberSpliceE,Intelligent Transportation System (ITS) Fiber Spliced Enclosure (Existing),P,8
SPLV,ITSFiberSpliceV,Intelligent Transportation System (ITS) Fiber Spliced Vault (Buried) (Existing),P,8
SPR,Tributary,Spring (Water Source) (Existing),P,1
SRVC,JunctBox,Junction Box / Service Cabinet (Elec/Tel) (Existing),P,3
SSP,SpanWireP,Signal / Span Wire Pole (Existing),P,1
SSS,SignSingle,Sign (Single Pole Support) (Existing),P,1
STAL,PMSTAL,Pavement Marking - Straight and Turn Arrow Left (Existing),P,1
STALR,PMTALRS,"Pavement Marking - Turn Arrow Left, Right and Straight (Existing)",P,1
STAR,PMSTAR,Pavement Marking - Straight and Turn Arrow Right (Existing),P,1
STAROW,PMSTAROW,Pavement Marking - Straight Through Direction Arrow (Existing),P,1
STM,Stump,Stump (Existing),P,1
STMD,MonumentSTD,Monuments - Stamped Disk,P,6
STMP,MonumentSTP,Monuments - Stamped Plate,P,6
STOP,PMSTOP,Pavement Marking Message - STOP (Existing),P,1
STTK,TankStor,Storage Tank (Existing),P,1
SUN,PMSUN,Pavement Marking Message - SUN (Existing),P,1
SWG,RailroadSgnalG,Railroad Signal with Gate (Existing),P,1
TAL,PMTAL,Pavement Marking - Turn Arrow Left (Existing),P,1
TALR,PMTALR,Pavement Marking - Turn Arrow Left and Right (Existing),P,1
TAR,PMTAR,Pavement Marking - Turn Arrow Right (Existing),P,1
TB,TeleBooth,Telephone Booth (Existing),P,3
TCALM,PMTrafCalm,Pavement Marking Symbol - Traffic Calm Warning (Existing),P,1
TELP,TelePole,Telephone Pole (Existing),P,3
TG,StreamGauge,Stream or Tide Gauge (Existing),P,1
THA,SU_QLATestHole,Subsurface Utility Test Hole (QLA Only) (Existing),P,3
TO,PMTO,Pavement Marking Message - TO (Existing),P,1
TPD,TelePed,Telephone Pedestal / Service (Existing),P,3
TREE,Tree,Trees (Unknown) (Existing),P,1
TREEC,TreeConiferous,Coniferous Tree (Existing),P,1
TREECI,TreeCitrus,Citrus Tree (Existing),P,1
TREECY,TreeCypress,Cypress Tree (Existing),P,1
TREED,TreeDeciduous,Deciduous Tree (Existing),P,1
TREEOA,TreeOak,Oak Tree (Existing),P,1
TREEPA,TreePalm,Palm Tree (Existing),P,1
TREEPC,TreePalmCluster,Palm Tree Cluster (Existing),P,1
TREEPI,TreePine,Pine Tree (Existing),P,1
TRNF,Transformer,Transformer (Existing),P,3
TURN,PMTURN,Pavement Marking Message - TURN (Existing),P,1
UDBX,UnderDrainBx,Underdrain Box (Existing),P,2
UMKR,UtilMarker,Subsurface Utility Marker (Existing),P,3
UTURN,PMUTurn,Pavement Marking - U-Turn Arrow (Existing),P,1
VB,ValveBox,Valve Box (Existing),P,3
VBG,ValveBoxGas,Valve Box (Gas) (Existing),P,3
VBNPW,ValveBoxWtrNP,Valve Box (Non-potable Water) (Existing),P,3
VBS,ValveBoxSwr,Valve Box (Sewer) (Existing),P,3
VBW,ValveBoxWtr,Valve Box (Water) (Existing),P,3
VC,ValveCover,Valve Cover (Unknown) (Existing),P,3
VCEF,ValveCvrEff,Valve Cover (Effluent) (Existing),P,3
VCG,ValveCvrGas,Valve Cover (Gas) (Existing),P,3
VCNPW,ValveCvrWaterNP,Valve Cover (Non-potable Water) (Existing),P,3
VCRW,ValveCvrWtrRaw,Valve Cover (Raw Water) (Existing),P,3
VCS,ValveCvrSewer,Valve Cover (Sewer) (Existing),P,3
VCW,ValveCvrWater,Valve Cover (Water) (Existing),P,3
VLV,Valve,Valve (Unknown) (Existing),P,3
VLVB,ValveBFP,"Valve (Back Flow Preventer), Valve Box (Existing)",P,3
VLVG,ValveGas,"Valve, Valve Box (Gas) (Existing)",P,3
VLVNPW,ValveWaterNP,"Valve, Valve Box (Water) (Non Potable) (Existing)",P,3
VLVS,ValveSewer,"Valve, Valve Box (Sewer) (Existing)",P,3
VLVW,ValveWater,"Valve, Valve Box (Water) (Existing)",P,3
VNT,Vent,Vent (Unknown) (Existing),P,3
VNTG,VentGas,Vent (Gas) (Existing),P,3
VNTS,VentSewer,Vent (Sewer) (Existing),P,3
WELL,Well,Well (Any Size) (Existing),P,3
WEST,PMWEST,Pavement Marking Message - WEST (Existing),P,1
WIM,WindMill,Wind Mill (Existing),P,1
WLPT,WetlandSym,Wetland Point (Existing),P,1
WPB,PullBox,Wiring Pull Box (Existing),P,3
WWAROW,PMWrongWayArrow,Pavement Marking - Wrong Way Arrow (Existing),P,1
XING,PMXING,Pavement Marking Message - XING (Existing),P,1
XS,XSPt,"Cross Section Point, Station",P,7
YIELD,PMYIELD,Pavement Marking Message - YIELD (Existing),P,1
YLDAHD,PMYieldAhead,Pavement Marking - Yield Ahead Warning Triangle (Existing),P,1
ZONE,PMZONE,Pavement Marking Message - ZONE (Existing),P,1
