Feature Code,Point / Line,Name,Category
WEW,L,Winged Endwall,F-ZONE 2
WIM,P,Wind Mill,F-ZONE 1
WLA,L,Water Line (All Sizes) Quality Level A Locate,F-ZONE 3
WLB,L,Water Line (All Sizes) Quality Level B Designate (Buried),F-ZONE 3
WLC,L,Water Line (All Sizes) Quality Level C Visual Inspection (Buried),F-ZONE 3
WLD,L,Water Line (All Sizes) Quality Level D Existing Records (Buried),F-ZONE 3
WLPT,P,Wetland Point,F-ZONE 1
WPB,P,Wiring Pull Box,F-ZONE 3
XO,L,Crossovers and Detours (Temporary),F-ZONE 1
XS,P,Cross Section Point Station,F-ZONE 7
XSC,L,Cross Section Chain,F-ZONE 7
YD,L,Yard Drain,F-ZONE 2
YIELD,P,Yield Symbol,F-ZONE 1
ZONE,P,Zone Symbol,F-ZONE 1
BENCH,L,Bench - Outlines,DRMP
BPZA,L,Burried Power Duct / Electric Duct,DRMP
BPZB,L,Burried Power Duct / Electric Duct,DRMP
BPZC,L,Burried Power Duct / Electric Duct,DRMP
BPZD,L,Burried Power Duct / Electric Duct,DRMP
CALC,P,Calc,DRMP
CHECK,P,Check Shot,DRMP
CWLA,L,Chilled Water,DRMP
CWLB,L,Chilled Water,DRMP
CWLC,L,Chilled Water,DRMP
CWLD,L,Chilled Water,DRMP
DO,P,Direction Only,DRMP
DTCHCL,L,Ditch Centerline (Dot Top Bottom Flowline = Dtch),DRMP
FNCBW,L,Fence Barbed Wire,DRMP
FNCCH,L,Fence Chainlink,DRMP
FNCHG,L,Fence Hog Wire,DRMP
FNCSR,L,Fence Split Rail,DRMP
FNCWD,L,Fence Wood Privacy,DRMP
FNCWI,L,Fence Wrought Iron,DRMP
GNDH,P,Ground - Hard Shots (Excludes Ffe),DRMP
GTOR,P,Gophor Tortise,DRMP
LLBW,L,Lane Line - Broken White,DRMP
LLBY,L,Lane Line - Broken Yellow,DRMP
LLDY,L,Lane Line - Double Yellow,DRMP
LLSW,L,Lane Line - Solid White,DRMP
LLSY,L,Lane Line - Solid Yellow,DRMP
LPC,P,Light Pole - Concrete,DRMP
LPM,P,Light Pole - Metal,DRMP
LPW,P,Light Pole - Wood,DRMP
MHCATVR,P,Manhole Communication Rim,DRMP
MHDR,P,Manhole Electric Rim,DRMP
MHER,P,Manhole Gas Rim,DRMP
MHGR,P,Manhole Sanitary Rim,DRMP
MHSR,P,Manhole Drainage Rim,DRMP
MHTR,P,Manhole Telephone Rim,DRMP
MHUR,P,Manhole Unknown Rim,DRMP
MHWR,P,Manhole Water Rim,DRMP
OHU,L,Overhead Utilities,DRMP
PMCW,L,Pavement Marking - Crosswalk,DRMP
PMSB,L,Pavement Marking - Stop Bar,DRMP
PPC,P,Power Pole - Concrete,DRMP
PPM,P,Power Pole - Metal,DRMP
PPW,P,Power Pole - Wood,DRMP
TRBAY,P,Tree Bay,DRMP
TRCAM,P,Tree Camphor,DRMP
TRCED,P,Tree Cedar,DRMP
TRCHE,P,Tree Cherry,DRMP
TRCIT,P,Tree Citrus,DRMP
TRCYP,P,Tree Cypress,DRMP
TRGUM,P,Tree Sweet Gum,DRMP
TRHOL,P,Tree Holly,DRMP
TRMAG,P,Tree Magnolia,DRMP
TRMAP,P,Tree Maple,DRMP
TRMIM,P,Tree Mimosa,DRMP
TRMYR,P,Tree Crepe Myrtle,DRMP
WLFIRA,L,Water Line - Fire Line,DRMP
WLFIRB,L,Water Line - Fire Line,DRMP
WLFIRC,L,Water Line - Fire Line,DRMP
WLFIRD,L,Water Line - Fire Line,DRMP
WLRECA,L,Water Line - Reclaimed,DRMP
WLRECB,L,Water Line - Reclaimed,DRMP
WLRECC,L,Water Line - Reclaimed,DRMP
WLRECD,L,Water Line - Reclaimed,DRMP
UMKR*,,,
