Feature Code,Point / Line,Name,Category
CSTMP,P,Control Monuments - Stamped Plate,F-ZONE 5
CYL,L,Government: City Limit Line,F-ZONE 9
DECK,L,Deck / Porch,F-ZONE 1
DEFAULT,P,Point Locator Symbol,F-ZONE 1
DEFAULT_POINT,P,Point Locator Symbol,F-ZONE 1
DEP,L,WMD & Florida (DEP) Wetlands,F-ZONE 1
DF,P,Dolphins and Fenders,F-ZONE 1
DFL,L,Ditch Flow Line Direction (Ditches Swells etc.),F-ZONE 2
DH,P,Monuments - Drill Hole Plug,F-ZONE 6
DLP,P,Delineator Post Metal and Flexible,F-ZONE 1
DMP,P,Dumpster Trash Disposal,F-ZONE 1
DMPS,P,Dump Station (SS),F-ZONE 3
DOCK,L,Docks and Wharfs,F-ZONE 1
DRIP,L,Drip Line of Trees (Roots),F-ZONE 1
DRM,P,Monuments - Deep Rod Mark,F-ZONE 6
DRNB,L,Drainage Structure Bottoms,F-ZONE 2
DRNP,L,Drainage Pipes and Spouts,F-ZONE 2
DTCH,L,Ditch (Top Bottom and Flow Lines),F-ZONE 2
DTCHI,L,Ditch Bottom Inlet,F-ZONE 2
DTCHP,L,Ditch Pavement,F-ZONE 2
DUCTA,L,Utility Conduit & Encasements Quality Level A Locate,F-ZONE 3
DUCTB,L,Utility Conduit & Encasements Quality Level B Designate (Buried),F-ZONE 3
DUCTC,L,Utility Conduit & Encasements Quality Level C Visual Inspection (Buried),F-ZONE 3
DUCTD,L,Utility Conduit & Encasements Quality Level D Existing Records (Buried),F-ZONE 3
DUMB,L,Dummy Chains,F-ZONE 1
DWY,L,Driveway (Drive Lane Turnouts),F-ZONE 1
ECP,L,Electric Control Panel with Multiple Controls,F-ZONE 3
ELECS,L,Electric Service Box (Large),F-ZONE 3
ELEO,P,Electrical Outlet,F-ZONE 3
EM,L,Edge of Mangrove,F-ZONE 1
EOI,P,Subsurface Utility (End of Interruption),F-ZONE 3
ESL,L,Endangered Species Line,F-ZONE 1
ESMT,L,Easement Lines,F-ZONE 9
ESMTP,L,Easement Lines Proposed Perpetual,F-ZONE 9
ESP,P,Endangered Species Point,F-ZONE 1
EXIST,L,Digital Terrain Model (DTM) Boundary,F-ZONE 1
FAU,P,Faucet,F-ZONE 3
FC,P,Fill Cap (Buried Tank),F-ZONE 1
FES,L,Flared End Section,F-ZONE 2
FH,P,Fire Hydrant,F-ZONE 3
FLD,P,Flood Light,F-ZONE 3
FMA,L,Force Main (All Sizes) Quality Level A Locate,F-ZONE 3
FMB,L,Force Main (All Sizes) Quality Level B Designate (Buried),F-ZONE 3
FMC,L,Force Main (All Sizes) Quality Level C Visual Inspection (Buried),F-ZONE 3
FMD,L,Force Main (All Sizes) Quality Level D Existing Records (Buried),F-ZONE 3
FNC,L,Fence (All Types),F-ZONE 1
FO,L,Fiber Optics Telephone (Aerial) (Size Unknown),F-ZONE 3
FOC,L,Fiber Optics Cable (Aerial),F-ZONE 3
FOCUA,L,Fiber Optics Cable Quality Level A Locate (Buried),F-ZONE 3
FOCUB,L,Fiber Optics Cable Quality Level B Designate (Buried),F-ZONE 3
FOCUC,L,Fiber Optics Cable Quality Level C Visual Inspection (Buried),F-ZONE 3
FOCUD,L,Fiber Optics Cable Quality Level D Existing Records (Buried),F-ZONE 3
FOP,L,Fiber Optics Electrical (Aerial),F-ZONE 3
FOPUA,L,Fiber Optics Electrical Quality Level A Locate (Buried),F-ZONE 3
FOPUB,L,Fiber Optics Electrical Quality Level B Designate (Buried),F-ZONE 3
FOPUC,L,Fiber Optics Electrical Quality Level C Visual Inspection (Buried),F-ZONE 3
FOPUD,L,Fiber Optics Electrical Quality Level D Existing Records (Buried),F-ZONE 3
FOTVUA,L,Fiber Optics Television Quality Level A Locate (Buried),F-ZONE 3
FOTVUB,L,Fiber Optics Television Quality Level B Designate (Buried),F-ZONE 3
FOTVUC,L,Fiber Optics Television Quality Level C Visual Inspection (Buried),F-ZONE 3
FOTVUD,L,Fiber Optics Television Quality Level D Existing Records (Buried),F-ZONE 3
FOUA,L,Fiber Optics Telephone Quality Level A Locate (Buried),F-ZONE 3
FOUB,L,Fiber Optics Telephone Quality Level B Designate (Buried),F-ZONE 3
FOUC,L,Fiber Optics Telephone Quality Level C Visual Inspection (Buried),F-ZONE 3
FOUD,L,Fiber Optics Telephone Quality Level D Existing Records (Buried),F-ZONE 3
FP,P,Flag Pole,F-ZONE 1
FUSE,L,Fuses,F-ZONE 3
GA,P,Gauges,F-ZONE 3
GASA,L,Gas Line (All Sizes) Quality Level A Locate,F-ZONE 3
GASB,L,Gas Line (All Sizes) Quality Level B Designate (Buried),F-ZONE 3
GASC,L,Gas Line (All Sizes) Quality Level C Visual Inspection (Buried),F-ZONE 3
GASD,L,Gas Line (All Sizes) Quality Level D Existing Records (Buried),F-ZONE 3
GBRK,L,Ground Break Line (Not a Slope or Bank),F-ZONE 1
GI,L,Gutter Inlets (All Types),F-ZONE 2
GND,P,Ground Shot for DTM (Soft Shot),F-ZONE 1
GOLF,L,Golf Course Features (All Types),F-ZONE 1
GRDBL,L,Guardrail Double Face,F-ZONE 1
GRL,L,Guardrail Left,F-ZONE 1
GRR,L,Guardrail Right,F-ZONE 1
GRT,L,Drainage Grate within Concrete Structure,F-ZONE 2
GRTL,L,Government: Grant Line,F-ZONE 9
GRV,L,Groves & Orchards (Boundary),F-ZONE 1
GT,L,Gates,F-ZONE 1
GTM,L,Gas Test & Miscellaneous,F-ZONE 3
GYA,P,Guy Anchor,F-ZONE 3
GYP,P,Guy Pole (Dead-man),F-ZONE 3
GYS,L,Span Guys,F-ZONE 3
HED,L,Hedges and Shrubs (Boundary),F-ZONE 1
HML,P,High Mast Lighting Poles,F-ZONE 3
HNDC,P,Accessible (Handicap) Pavement Marking,F-ZONE 1
HNDRL,L,Railings (All Types); Used for Pedestrian and Bicycles,F-ZONE 1
HOLE,P,Hole,F-ZONE 1
HUMP,P,Hump Symbol,F-ZONE 1
HVL,L,High Voltage Transmission Line,F-ZONE 3
INCN,P,Incinerator Boiler or Furnace,F-ZONE 1
INV,P,Flow Line or Invert Elevations,F-ZONE 2
IRC,P,Monuments - 5/8 Rod and Cap,F-ZONE 6
ITCP,P,Int.Trans.Sys. (ITS) Closed Caption TV Camera Pole,NOT USED
ITFCA,L,Int.Trans.Sys. (ITS) Fiber Cable Quality Level A Locate (Buried),NOT USED
ITFCB,L,Int.Trans.Sys. (ITS) Fiber Cable Quality Level B Designate (Buried),NOT USED
